With train,City Council_format2,City council,Year,House Number of Sales,Unit/Apartment Number of Sales,Vacant House Number of Sales,Total Number of Sales
No,Northern Grampians Shire,Northern Grampians S  ,2020,211,22,40,273
No,Northern Grampians Shire,Northern Grampians S  ,2021,213,17,41,271
Yes,Port Phillip City,Port Phillip C  ,2018,619,2257,2,2878
Yes,Port Phillip City,Port Phillip C  ,2019,647,1932,1,2580
Yes,Port Phillip City,Port Phillip C  ,2020,621,1785,3,2409
Yes,Port Phillip City,Port Phillip C  ,2021,914,2721,1,3636
No,Pyrenees Shire,Pyrenees S  ,2018,76,0,30,106
No,Pyrenees Shire,Pyrenees S  ,2019,74,1,24,99
No,Pyrenees Shire,Pyrenees S  ,2020,67,0,36,103
No,Pyrenees Shire,Pyrenees S  ,2021,78,2,63,143
No,Borough of Queenscliffe,Borough of Queenscliffe  ,2018,71,20,6,97
No,Borough of Queenscliffe,Borough of Queenscliffe  ,2019,74,16,2,92
No,Borough of Queenscliffe,Borough of Queenscliffe  ,2020,86,20,9,115
No,Borough of Queenscliffe,Borough of Queenscliffe  ,2021,94,21,5,120
No,Greater Shepparton City,Greater Shepparton C  ,2018,947,137,438,1522
No,Greater Shepparton City,Greater Shepparton C  ,2019,828,140,344,1312
No,Greater Shepparton City,Greater Shepparton C  ,2020,974,112,633,1719
No,Greater Shepparton City,Greater Shepparton C  ,2021,1163,174,374,1711
No,South Gippsland Shire,South Gippsland S  ,2018,568,75,296,939
No,South Gippsland Shire,South Gippsland S  ,2019,464,49,174,687
No,South Gippsland Shire,South Gippsland S  ,2020,547,41,292,880
No,South Gippsland Shire,South Gippsland S  ,2021,608,49,198,855
No,Southern Grampians Shire,Southern Grampians S  ,2018,301,13,32,346
No,Southern Grampians Shire,Southern Grampians S  ,2019,242,32,28,302
No,Southern Grampians Shire,Southern Grampians S  ,2020,307,19,59,385
No,Southern Grampians Shire,Southern Grampians S  ,2021,356,23,33,412
Yes,Stonnington City,Stonnington C  ,2018,897,1932,3,2832
Yes,Stonnington City,Stonnington C  ,2019,827,1633,1,2461
Yes,Stonnington City,Stonnington C  ,2020,786,1431,7,2224
Yes,Stonnington City,Stonnington C  ,2021,1199,2302,6,3507
No,Strathbogie Shire,Strathbogie S  ,2018,156,29,94,279
No,Strathbogie Shire,Strathbogie S  ,2019,156,25,65,246
No,Strathbogie Shire,Strathbogie S  ,2020,106,20,103,229
No,Strathbogie Shire,Strathbogie S  ,2021,190,15,87,292
No,Surf Coast Shire,Surf Coast S  ,2018,538,156,379,1073
No,Surf Coast Shire,Surf Coast S  ,2019,537,119,255,911
No,Surf Coast Shire,Surf Coast S  ,2020,657,135,394,1186
No,Surf Coast Shire,Surf Coast S  ,2021,662,128,196,986
No,Swan Hill Rural City,Swan Hill Rural C  ,2018,294,47,49,390
No,Swan Hill Rural City,Swan Hill Rural C  ,2019,270,44,53,367
No,Swan Hill Rural City,Swan Hill Rural C  ,2020,248,29,90,367
No,Swan Hill Rural City,Swan Hill Rural C  ,2021,317,33,71,421
No,Towong Shire,Towong S  ,2018,77,3,15,95
No,Towong Shire,Towong S  ,2019,64,4,16,84
No,Towong Shire,Towong S  ,2020,95,6,17,118
No,Towong Shire,Towong S  ,2021,92,7,20,119
No,Wangaratta Rural City,Wangaratta Rural C  ,2018,423,60,110,593
No,Wangaratta Rural City,Wangaratta Rural C  ,2019,424,55,128,607
No,Wangaratta Rural City,Wangaratta Rural C  ,2020,425,51,197,673
No,Wangaratta Rural City,Wangaratta Rural C  ,2021,502,73,61,636
No,Warrnambool City,Warrnambool C  ,2018,618,139,143,900
No,Warrnambool City,Warrnambool C  ,2019,542,173,231,946
No,Warrnambool City,Warrnambool C  ,2020,583,142,395,1120
No,Warrnambool City,Warrnambool C  ,2021,650,144,129,923
No,Wellington Shire,Wellington S  ,2018,824,79,338,1241
No,Wellington Shire,Wellington S  ,2019,751,88,338,1177
No,Wellington Shire,Wellington S  ,2020,879,94,477,1450
No,Wellington Shire,Wellington S  ,2021,1101,140,564,1805
No,West Wimmera Shire,West Wimmera S  ,2018,50,0,6,56
No,West Wimmera Shire,West Wimmera S  ,2019,49,1,7,57
No,West Wimmera Shire,West Wimmera S  ,2020,61,1,11,73
No,West Wimmera Shire,West Wimmera S  ,2021,66,0,12,78
Yes,Whitehorse City,Whitehorse C  ,2018,1544,1466,17,3027
Yes,Whitehorse City,Whitehorse C  ,2019,1561,1448,27,3036
Yes,Whitehorse City,Whitehorse C  ,2020,1241,1119,24,2384
Yes,Whitehorse City,Whitehorse C  ,2021,2000,1719,20,3739
Yes,Whittlesea City,Whittlesea C  ,2018,2781,577,1720,5078
Yes,Whittlesea City,Whittlesea C  ,2019,2700,422,1194,4316
Yes,Whittlesea City,Whittlesea C  ,2020,2600,439,2173,5212
Yes,Whittlesea City,Whittlesea C  ,2021,3665,733,1221,5619
No,Wodonga City,Wodonga C  ,2018,714,122,327,1163
No,Wodonga City,Wodonga C  ,2019,644,119,320,1083
No,Wodonga City,Wodonga C  ,2020,740,125,601,1466
No,Wodonga City,Wodonga C  ,2021,914,163,327,1404
Yes,Wyndham City,Wyndham C  ,2018,3960,585,4355,8900
Yes,Wyndham City,Wyndham C  ,2019,3697,433,2412,6542
Yes,Wyndham City,Wyndham C  ,2020,3545,346,3965,7856
Yes,Wyndham City,Wyndham C  ,2021,6000,607,3222,9829
Yes,Yarra City,Yarra C  ,2018,709,1598,2,2309
Yes,Yarra City,Yarra C  ,2019,697,1158,2,1857
Yes,Yarra City,Yarra C  ,2020,648,994,2,1644
Yes,Yarra City,Yarra C  ,2021,1087,1512,2,2601
Yes,Yarra Ranges Shire,Yarra Ranges S  ,2018,2064,357,159,2580
Yes,Yarra Ranges Shire,Yarra Ranges S  ,2019,1973,368,194,2535
Yes,Yarra Ranges Shire,Yarra Ranges S  ,2020,1790,429,255,2474
Yes,Yarra Ranges Shire,Yarra Ranges S  ,2021,2324,563,195,3082
No,Yarriambiack Shire,Yarriambiack S  ,2018,159,2,27,188
No,Yarriambiack Shire,Yarriambiack S  ,2019,126,4,29,159
No,Yarriambiack Shire,Yarriambiack S  ,2020,153,3,27,183
No,Yarriambiack Shire,Yarriambiack S  ,2021,159,1,36,196
